country,region,gadm_name,geofabrik_name,geofabrik_region
Guatemala,South/Latin America,GTM,guatemala,central-america
Guinea,Africa,GIN,guinea,africa
Guinea-Bissau,Africa,GNB,guinea-bissau,africa
Guyana,South/Latin America,GUY,guyana,south-america
Haiti,South/Latin America,HTI,haiti-and-domrep,central-america
Heard Island and McDonald Islands,Asia & Pacific,HMD,heard-island-and-mcdonald-islands,asia
Honduras,South/Latin America,HND,honduras,south-america
India,Asia & Pacific,IND,india,asia
Indonesia,Asia & Pacific,IDN,indonesia,asia
"Iran, Islamic Republic of",Asia & Pacific,IRN,iran,asia
Iraq,Arab States,IRQ,iraq,asia
Jamaica,South/Latin America,JAM,jamaica,central-america
Jordan,Arab States,JOR,jordan,asia
Kazakhstan,Asia & Pacific,KAZ,kazakhstan,asia
Kenya,Africa,KEN,kenya,africa
Kiribati,Asia & Pacific,KIR,kiribati,asia
"Korea, Democratic People's Republic of",Asia & Pacific,PRK,south-korea,asia
Kuwait,Arab States,KWT,gcc-states,asia
Kyrgyzstan,Asia & Pacific,KGZ,kyrgyzstan,asia
Lao People's Democratic Republic,Asia & Pacific,LAO,laos,asia
Lebanon,Arab States,LBN,lebanon,asia
Lesotho,Africa,LSO,lesotho,africa
Liberia,Africa,LBR,liberia,africa
Libya,Arab States,LBY,libya,africa
Madagascar,Africa,MDG,madagascar,africa
Malawi,Africa,MWI,malawi,africa
Malaysia,Asia & Pacific,MYS,malaysia-singapore-brunei,asia
Maldives,Asia & Pacific,MDV,maldives,asia
Mali,Africa,MLI,mali,africa
Marshall Islands,Asia & Pacific,MHL,marshall-islands,asia
Martinique,South/Latin America,MTQ,martinique,south-america
Mauritania,Arab States,MRT,mauritania,africa
Mauritius,Africa,MUS,mauritius,africa
Mayotte,Africa,MYT,mayotte,africa
Mexico,South/Latin America,MEX,mexico,north-america
"Micronesia, Federated States of",Asia & Pacific,FSM,micronesia-federated-states-of,asia
Mongolia,Asia & Pacific,MNG,mongolia,asia
Montserrat,South/Latin America,MSR,montserrat,south-america
Morocco,Arab States,MAR,morocco,africa
Mozambique,Africa,MOZ,mozambique,africa
Myanmar,Asia & Pacific,MMR,myanmar,asia
Namibia,Africa,NAM,namibia,africa
Nauru,Asia & Pacific,NRU,nauru,asia
Nepal,Asia & Pacific,NPL,nepal,asia
Netherlands Antilles,South/Latin America,,netherlands-antilles,south-america
New Caledonia,Asia & Pacific,NCL,new-caledonia,australia-oceania
Nicaragua,South/Latin America,NIC,nicaragua,central-america
Niger,Africa,NER,niger,africa
Nigeria,Africa,NGA,nigeria,africa
Niue,Asia & Pacific,NIU,niue,asia
Norfolk Island,Asia & Pacific,NFK,norfolk-island,asia
Northern Mariana Islands,Asia & Pacific,MNP,northern-mariana-islands,asia
Oman,Arab States,OMN,gcc-states,asia
Pakistan,Asia & Pacific,PAK,pakistan,asia
Palau,Asia & Pacific,PLW,palau,asia
Palestinian Territory,Arab States,PSE,israel-and-palestine,asia
Panama,South/Latin America,PAN,panama,south-america
Papua New Guinea,Asia & Pacific,PNG,papua-new-guinea,australia-oceania
Paraguay,South/Latin America,PRY,paraguay,south-america
Peru,South/Latin America,PER,peru,south-america
Philippines,Asia & Pacific,PHL,philippines,asia
Pitcairn Islands,Asia & Pacific,PCN,pitcairn-islands,asia
Puerto Rico,South/Latin America,PRI,puerto-rico,North-america/us
Qatar,Arab States,QAT,gcc-states,asia
Reunion,Asia & Pacific,REU,reunion,asia
Rwanda,Africa,RWA,rwanda,africa
Saint Barthelemy,South/Latin America,BLM,saint-barthelemy,south-america
Saint Helena,Africa,SHN,saint-helena-ascension-and-tristan-da-cunha,africa
Saint Kitts and Nevis,South/Latin America,KNA,saint-kitts-and-nevis,south-america
Saint Lucia,South/Latin America,LCA,saint-lucia,south-america
Saint Martin,South/Latin America,MAF,saint-martin,south-america
Saint Vincent and the Grenadines,South/Latin America,VCT,saint-vincent-and-the-grenadines,south-america
Samoa,Asia & Pacific,WSM,samoa,asia
Sao Tome and Principe,Africa,STP,sao-tome-and-principe,africa
Saudi Arabia,Arab States,SAU,gcc-states,asia
Senegal,Africa,SEN,senegal-and-gambia,africa
Seychelles,Africa,SYC,seychelles,africa
Sierra Leone,Africa,SLE,sierra-leone,africa
Solomon Islands,Asia & Pacific,SLB,solomon-islands,asia
Somalia,Arab States,SOM,somalia,africa
South Africa,Africa,ZAF,south-africa,africa
South Georgia and the South Sandwich Islands,South/Latin America,SGS,south-georgia-and-the-south-sandwich-islands,south-america
South Sudan,Africa,SSD,south-sudan,africa
Sri Lanka,Asia & Pacific,LKA,sri-lanka,asia
Sudan,Arab States,SDN,sudan,africa
Suriname,South/Latin America,SUR,suriname,south-america
Swaziland,Africa,SWZ,swaziland,africa
Syrian Arab Republic,Asia & Pacific,SYR,syria,asia
Tajikistan,Asia & Pacific,TJK,tajikistan,asia
"Tanzania, United Republic of",Africa,TZA,tanzania,africa
Thailand,Asia & Pacific,THA,thailand,asia
Timor-Leste,Asia & Pacific,,timor-leste,asia
Togo,Africa,TGO,togo,africa
Tokelau,Asia & Pacific,TKL,tokelau,asia
Tonga,Asia & Pacific,TON,tonga,asia
Trinidad and Tobago,South/Latin America,TTO,trinidad-and-tobago,south-america
Tunisia,Arab States,TUN,tunisia,africa
Turkmenistan,Asia & Pacific,TKM,turkmenistan,asia
Turks and Caicos Islands,South/Latin America,TCA,turks-and-caicos-islands,south-america
Tuvalu,Asia & Pacific,TUV,tuvalu,asia
Uganda,Africa,UGA,uganda,africa
Ukraine,Europe,UKR,ukraine,europe
United Arab Emirates,Arab States,ARE,gcc-states,asia
United States Minor Outlying Islands,Asia & Pacific,UMI,united-states-minor-outlying-islands,asia
Uruguay,South/Latin America,URY,uruguay,south-america
Uzbekistan,Asia & Pacific,UZB,uzbekistan,asia
Vanuatu,Asia & Pacific,VUT,vanuatu,asia
Venezuela,South/Latin America,VEN,venezuela,south-america
Vietnam,Asia & Pacific,VNM,vietnam,asia
"Virgin Islands, British",South/Latin America,,virgin-islands-british,south-america
"Virgin Islands, U.S.",South/Latin America,VIR,virgin-islands-u.s.,south-america
Wallis and Futuna,Asia & Pacific,WLF,wallis-and-futuna,asia
Western Sahara,Africa,ESH,western-sahara,africa
Yemen,Arab States,YEM,yemen,asia
Zambia,Africa,ZMB,zambia,africa
Zimbabwe,Africa,ZWE,zimbabwe,africa
